metric,tau,actual_class,predicted_class,count,metric_accuracy
heuristic,0.030752008122741648,negative,negative,9,0.5
heuristic,0.030752008122741648,negative,random,0,0.5
heuristic,0.030752008122741648,negative,positive,0,0.5
heuristic,0.030752008122741648,random,negative,5,0.5
heuristic,0.030752008122741648,random,random,0,0.5
heuristic,0.030752008122741648,random,positive,10,0.5
heuristic,0.030752008122741648,positive,negative,0,0.5
heuristic,0.030752008122741648,positive,random,0,0.5
heuristic,0.030752008122741648,positive,positive,6,0.5
tanh,0.030752008122741648,negative,negative,9,0.8333333333333334
tanh,0.030752008122741648,negative,random,0,0.8333333333333334
tanh,0.030752008122741648,negative,positive,0,0.8333333333333334
tanh,0.030752008122741648,random,negative,0,0.8333333333333334
tanh,0.030752008122741648,random,random,10,0.8333333333333334
tanh,0.030752008122741648,random,positive,5,0.8333333333333334
tanh,0.030752008122741648,positive,negative,0,0.8333333333333334
tanh,0.030752008122741648,positive,random,0,0.8333333333333334
tanh,0.030752008122741648,positive,positive,6,0.8333333333333334
pgap,0.030752008122741648,negative,negative,9,0.8333333333333334
pgap,0.030752008122741648,negative,random,0,0.8333333333333334
pgap,0.030752008122741648,negative,positive,0,0.8333333333333334
pgap,0.030752008122741648,random,negative,0,0.8333333333333334
pgap,0.030752008122741648,random,random,10,0.8333333333333334
pgap,0.030752008122741648,random,positive,5,0.8333333333333334
pgap,0.030752008122741648,positive,negative,0,0.8333333333333334
pgap,0.030752008122741648,positive,random,0,0.8333333333333334
pgap,0.030752008122741648,positive,positive,6,0.8333333333333334
